epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,12203.1,0.85853,0.53617,0.9057,0.80045,0.80413,0.83693,0.60848,0.8688,0.52217,0.90129,0.0046045,0.0046045,0.0046045
111,12321.6,0.85291,0.53182,0.90442,0.80507,0.8097,0.8363,0.60801,0.86878,0.52131,0.9014,0.004555,0.004555,0.004555
112,12436.1,0.85147,0.53171,0.90276,0.79557,0.80213,0.83701,0.61069,0.87034,0.52051,0.90151,0.0045055,0.0045055,0.0045055
113,12549.1,0.85465,0.53449,0.90427,0.79954,0.80614,0.83977,0.61228,0.86852,0.52009,0.90016,0.004456,0.004456,0.004456
114,12659,0.84962,0.53156,0.90576,0.80249,0.80062,0.83758,0.61019,0.86618,0.52048,0.90018,0.0044065,0.0044065,0.0044065
115,12770.3,0.84664,0.52894,0.90247,0.83729,0.7827,0.84078,0.61175,0.8654,0.52017,0.90063,0.004357,0.004357,0.004357
116,12880.3,0.85088,0.53104,0.90389,0.82493,0.79207,0.84179,0.6145,0.86383,0.51696,0.90078,0.0043075,0.0043075,0.0043075
117,12990.4,0.84675,0.5285,0.90152,0.81688,0.79807,0.8433,0.61773,0.86307,0.51474,0.90013,0.004258,0.004258,0.004258
118,13099.8,0.84237,0.52647,0.90155,0.842,0.7845,0.84162,0.6141,0.86276,0.51515,0.89982,0.0042085,0.0042085,0.0042085
119,13207.6,0.84265,0.52631,0.9016,0.8516,0.77766,0.84139,0.61392,0.86317,0.51333,0.89856,0.004159,0.004159,0.004159
120,13321.8,0.84237,0.52532,0.90072,0.84783,0.78075,0.84366,0.61696,0.86016,0.51209,0.8981,0.0041095,0.0041095,0.0041095
121,13438.2,0.83713,0.52094,0.89755,0.84013,0.78538,0.84496,0.61532,0.85885,0.51143,0.89748,0.00406,0.00406,0.00406
122,13550.4,0.84082,0.52314,0.89868,0.83137,0.78723,0.84476,0.61541,0.85593,0.51023,0.89682,0.0040105,0.0040105,0.0040105
123,13659.5,0.83746,0.52355,0.89986,0.83296,0.78954,0.84442,0.61647,0.85469,0.50969,0.89617,0.003961,0.003961,0.003961
124,13768.5,0.83455,0.51874,0.89826,0.84361,0.79271,0.84157,0.61921,0.85493,0.50893,0.89659,0.0039115,0.0039115,0.0039115
125,13877.5,0.83529,0.5225,0.90066,0.83498,0.79395,0.84445,0.62047,0.85467,0.50702,0.89641,0.003862,0.003862,0.003862
126,13987.6,0.83046,0.51756,0.898,0.85105,0.78938,0.84189,0.61896,0.85422,0.50598,0.89615,0.0038125,0.0038125,0.0038125
127,14097.6,0.83336,0.51885,0.89756,0.85535,0.78971,0.84401,0.6203,0.854,0.50522,0.89596,0.003763,0.003763,0.003763
128,14207.8,0.83199,0.51734,0.89749,0.8545,0.78503,0.84597,0.62027,0.85351,0.50508,0.89568,0.0037135,0.0037135,0.0037135
129,14317.8,0.82841,0.51599,0.89579,0.84743,0.79322,0.84617,0.62032,0.85208,0.50334,0.89536,0.003664,0.003664,0.003664
130,14428,0.82775,0.51595,0.89811,0.84582,0.78841,0.84293,0.62044,0.85132,0.5023,0.89552,0.0036145,0.0036145,0.0036145
131,14538.1,0.82527,0.51136,0.89614,0.8419,0.78555,0.84271,0.62013,0.85081,0.50273,0.89544,0.003565,0.003565,0.003565
132,14648.2,0.8258,0.51133,0.89536,0.8328,0.79112,0.84233,0.62078,0.84949,0.50239,0.89499,0.0035155,0.0035155,0.0035155
133,14758.2,0.82061,0.50953,0.8935,0.83392,0.7879,0.84214,0.62153,0.84976,0.50134,0.89469,0.003466,0.003466,0.003466
